customer_id,customer_name,city,signup_date
1,Customer_1,Chennai,2024-07-09
2,Customer_2,Mumbai,2024-08-05
3,Customer_3,Bangalore,2024-02-13
4,Customer_4,Chennai,2024-06-10
5,Customer_5,Chennai,2024-07-20
6,Customer_6,Mumbai,2024-09-26
7,Customer_7,Bangalore,2024-12-16
8,Customer_8,Bangalore,2024-10-30
9,Customer_9,Chennai,2024-09-27
10,Customer_10,Delhi,2024-08-02
11,Customer_11,Chennai,2024-09-08
12,Customer_12,Chennai,2024-07-08
13,Customer_13,Chennai,2024-10-22
14,Customer_14,Chennai,2024-07-31
15,Customer_15,Mumbai,2024-07-26
16,Customer_16,Bangalore,2024-08-24
17,Customer_17,Mumbai,2024-12-03
18,Customer_18,Mumbai,2024-02-22
19,Customer_19,Mumbai,2024-10-06
20,Customer_20,Chennai,2024-08-04
21,Customer_21,Delhi,2024-09-08
22,Customer_22,Bangalore,2024-07-06
23,Customer_23,Delhi,2024-02-10
24,Customer_24,Mumbai,2024-06-05
25,Customer_25,Mumbai,2024-01-15
26,Customer_26,Delhi,2024-10-27
27,Customer_27,Delhi,2024-03-05
28,Customer_28,Delhi,2024-12-10
29,Customer_29,Mumbai,2024-11-22
30,Customer_30,Mumbai,2024-01-09
31,Customer_31,Bangalore,2024-12-09
32,Customer_32,Bangalore,2024-05-08
33,Customer_33,Mumbai,2024-05-15
34,Customer_34,Delhi,2024-03-03
35,Customer_35,Delhi,2024-05-18
36,Customer_36,Bangalore,2024-03-21
37,Customer_37,Mumbai,2024-06-11
38,Customer_38,Bangalore,2024-10-15
39,Customer_39,Bangalore,2024-09-17
40,Customer_40,Chennai,2024-08-18
41,Customer_41,Chennai,2024-02-10
42,Customer_42,Chennai,2024-01-28
43,Customer_43,Delhi,2024-05-14
44,Customer_44,Mumbai,2024-07-19
45,Customer_45,Mumbai,2024-11-23
46,Customer_46,Mumbai,2024-09-24
47,Customer_47,Mumbai,2024-02-02
48,Customer_48,Chennai,2024-02-17
49,Customer_49,Delhi,2024-03-02
50,Customer_50,Delhi,2024-08-03
51,Customer_51,Chennai,2024-10-19
52,Customer_52,Delhi,2024-04-08
53,Customer_53,Chennai,2024-06-20
54,Customer_54,Mumbai,2024-12-25
55,Customer_55,Chennai,2024-08-01
56,Customer_56,Mumbai,2024-02-04
57,Customer_57,Mumbai,2024-08-14
58,Customer_58,Bangalore,2024-04-10
59,Customer_59,Chennai,2024-05-10
60,Customer_60,Bangalore,2024-09-13
61,Customer_61,Chennai,2024-01-05
62,Customer_62,Chennai,2024-08-05
63,Customer_63,Bangalore,2024-09-11
64,Customer_64,Bangalore,2024-12-24
65,Customer_65,Chennai,2024-10-09
66,Customer_66,Delhi,2024-07-25
67,Customer_67,Mumbai,2024-01-15
68,Customer_68,Bangalore,2024-12-11
69,Customer_69,Mumbai,2024-02-11
70,Customer_70,Delhi,2024-06-27
71,Customer_71,Delhi,2024-03-03
72,Customer_72,Delhi,2024-12-17
73,Customer_73,Bangalore,2024-08-18
74,Customer_74,Delhi,2024-08-28
75,Customer_75,Bangalore,2024-02-21
76,Customer_76,Delhi,2024-04-05
77,Customer_77,Mumbai,2024-08-09
78,Customer_78,Mumbai,2024-08-18
79,Customer_79,Chennai,2024-08-24
80,Customer_80,Mumbai,2024-05-22
81,Customer_81,Chennai,2024-06-19
82,Customer_82,Mumbai,2024-01-29
83,Customer_83,Bangalore,2024-02-05
84,Customer_84,Mumbai,2024-01-13
85,Customer_85,Chennai,2024-06-08
86,Customer_86,Chennai,2024-11-22
87,Customer_87,Delhi,2024-07-05
88,Customer_88,Bangalore,2024-08-30
89,Customer_89,Mumbai,2024-03-26
90,Customer_90,Delhi,2024-10-10
91,Customer_91,Mumbai,2024-03-06
92,Customer_92,Mumbai,2024-06-18
93,Customer_93,Delhi,2024-02-14
94,Customer_94,Delhi,2024-03-02
95,Customer_95,Delhi,2024-05-13
96,Customer_96,Delhi,2024-10-10
97,Customer_97,Delhi,2024-01-28
98,Customer_98,Mumbai,2024-04-17
99,Customer_99,Delhi,2024-02-13
100,Customer_100,Bangalore,2024-12-05
